Hitler,היטלר
Was,היה
Nazis,נאצים
Also,גם
Ich,אני
Berlin,ברלין
Nazi,נאצי
Wehrmacht,ורמאכט
Sie,הם
Hmm,הממ
Nein,לא
Aber,אבל
Leute,אנשים
Mhm,הממ
Not,לא
Nicht,לא
Wir,אנחנו
Zeit,זמן
This,זה
German,גרמני
Because,כי
Did,עשה
Yes,כן
Wie,איך
Krieg,מלחמה
They,הם
Jewish,יהודי
Dann,אז
Jews,יהודים
War,מלחמה
Deutschland,גרמניה
There,שם
Mann,גבר
Well,ובכן
Then,אז
That,ש
Yeah,כן
You,אתה
Jahre,שנים
Okay,אוקיי
Familie,משפחה
When,מתי
Jahr,שנה
Were,היו
Jew,יהודי
Soldat,חייל
Mutter,אמא
How,איך
What,מה
Germany,גרמניה
Man,אדם
Ach,אה
Juden,יהודים
Holocaust,שואה
Haben   Sie,האם יש לכם
Poland,פולין
Now,עכשיו
Mein   Vater,אבי
Hamburg,המבורג
Angst,פחד
Warum,למה
Bruder,אח
Wenn,אם
Hause,בית
Vater,אבא
Eltern,הורים
Germans,גרמנים
World   War,מלחמת עולם
Hat,יש
One,אחד
Which,איזה
Polen,פולין
Gro,גדול
Who,מי
Leben,חיים
Why,למה
Bitte,בבקשה
All,הכל
Jetzt,עכשיו
Offizier,קצין
Ist,הוא
After,אחרי
Verbindung,קשר
Abstammung,מוצא
Deutsch,גרמני
England,אנגליה
Mit,עם
Kinder,ילדים
Mal,פעם
Tag,יום
Weil,כי
Fall,מקרה
Mischlinge,ממזרים
Jahren,שנים
Auch,גם
Denn,כי
Schule,בית ספר
Mischling,ממזר
Mein   Kampf,מיין קאמפף
These,אלה
America,אמריקה
France,צרפת
Huh,הא
Teil,חלק
Mensch,אדם
Soldaten,חיילים
Probleme,בעיות
Your,שלך
Freunde,חברים
Milit,מיליט
Habe,יש לי
Den,את
Thank,תודה
Als,כ
Jude,יהודי
Nat,נט
Sind,הם
Wann,מתי
Kontakt,קשר
Right,נכון
Some,כמה
Halbjude,חצי יהודי
Russland,רוסיה
First   World   War,מלחמת העולם הראשונה
She,היא
Hatten   Sie,האם היה לכם
Frage,שאלה
Moment,רגע
Frau,אישה
Problem,בעיה
Ihnen,לכם
Tage,ימים
Ende,סוף
Gesetze,חוקים
Stalin,סטלין
Menschen,אנשים
Russia,רוסיה
Europe,אירופה
Never,אף פעם
Russians,רוסים
Wei,לבן
Let,לתת
Russen,רוסים
Meine   Mutter,אמי
Wochen,שבועות
Even,אפילו
Von,מ
First,ראשון
Schwester,אחות
Ein,אחד
Before,לפני
Sache,דבר
Oder,או
Geld,כסף
Waren,היו
Seite,צד
United   States,ארצות הברית
Can,יכול
Wer,מי
Damals,אז
Haben,יש
Stra,רחוב
Frankreich,צרפת
Ihre,שלהם
Gestapo,גסטפו
Und   Sie,ואתם
General,גנרל
Macht,כוח
Rolle,תפקיד
Deutscher,גרמני
Aha,אהה
Auschwitz,אושוויץ
Stadt,עיר
Sch,ש
November,נובמבר
Glauben,להאמין
Hab,יש לי
Paris,פריז
Everybody,כולם
Could,יכול
Austria,אוסטריה
May,מאי
English,אנגלית
Just,רק
From,מ
Russian,רוסי
Sure,בטוח
Nur,רק
Truppe,יחידה
Gef,פחד
Hand,יד
Vorfahren,אבות
Wait,חכה
Einstellung,גישה
Thema,נושא
Kameraden,חברים
About,על
Grund,סיבה
Uniform,מדים
Tagen,ימים
